Name,Position,Age,Season,Player_nat,Left_team,Left_league,Left_team_nat,Joined_team,Joined_league,Joined_nat,Fee,Loan_or_not,Face_img
Alex Sandro,Left-Back,24,15/16,Brazil,FC Porto,Liga NOS,Portugal,Juventus,Serie A,Italy,€26.00m,False,https://img.a.transfermarkt.technology/portrait/medium/79960-1474296962.jpg?lm=1
Stevan Jovetic,Centre-Forward,23,13/14,Montenegro/Serbia,Fiorentina,Serie A,Italy,Man City,Premier League,England,€26.00m,False,https://img.a.transfermarkt.technology/portrait/medium/46104-1614090821.jpg?lm=1
Antonio Cassano,Second Striker,18,01/02,Italy,Bari,Serie B,Italy,AS Roma,Serie A,Italy,€31.00m,False,https://img.a.transfermarkt.technology/portrait/medium/5962-1448965838.jpg?lm=1
Vincenzo Montella,Centre-Forward,25,99/00,Italy,Sampdoria,Serie B,Italy,AS Roma,Serie A,Italy,€25.82m,False,https://img.a.transfermarkt.technology/portrait/medium/s_5960_123_2012_1.jpg?lm=1
Zlatan Ibrahimovic,Centre-Forward,24,06/07,Sweden/Bosnia-Herzegovina,Juventus,Serie B,Italy,Inter,Serie A,Italy,€24.80m,False,https://img.a.transfermarkt.technology/portrait/medium/3455-1579506060.jpg?lm=1
Jonathan Zebina,Centre-Back,21,00/01,France/Martinique,Cagliari Calcio,Serie B,Italy,AS Roma,Serie A,Italy,€18.40m,False,https://img.a.transfermarkt.technology/portrait/medium/s_5942_415_2012_2.jpg?lm=1
Ismaël Bennacer,Defensive Midfield,21,19/20,Algeria/France,Empoli,Serie B,Italy,AC Milan,Serie A,Italy,€16.20m,False,https://img.a.transfermarkt.technology/portrait/medium/351816-1594276829.jpg?lm=1
Émerson,Defensive Midfield,30,06/07,Brazil/Germany,Juventus,Serie B,Italy,Real Madrid,LaLiga,Spain,€16.00m,False,https://img.a.transfermarkt.technology/portrait/medium/s_70_123_2013_10_02_1.jpg?lm=1
Mirko Vucinic,Second Striker,23,07/08,Montenegro,Lecce,Serie B,Italy,AS Roma,Serie A,Italy,€15.75m,False,https://img.a.transfermarkt.technology/portrait/medium/6448-1458740095.jpg?lm=1
Gianluca Zambrotta,Right-Back,29,06/07,Italy,Juventus,Serie B,Italy,Barcelona,LaLiga,Spain,€14.00m,False,https://img.a.transfermarkt.technology/portrait/medium/5757-1454935398.jpg?lm=1
Mohamed Kallon,Centre-Forward,21,01/02,Sierra Leone,Vicenza,Serie B,Italy,Inter,Serie A,Italy,€13.00m,False,https://img.a.transfermarkt.technology/portrait/medium/U_f_s_3509_2007_1.jpg?lm=1
Alberto Gilardino,Centre-Forward,20,02/03,Italy,Hellas Verona,Serie B,Italy,AC Parma,Serie A,Italy,€12.00m,False,https://img.a.transfermarkt.technology/portrait/medium/5878-1448984743.jpg?lm=1
Corrado Grabbi,Centre-Forward,25,01/02,Italy,Ternana,Serie B,Italy,Blackburn,Premier League,England,€11.36m,False,https://img.a.transfermarkt.technology/portrait/medium/J_U_s_3704_2007_1.jpg?lm=1
Kevin Bonifazi,Centre-Back,24,20/21,Italy,Torino,Serie A,Italy,SPAL,Serie B,Italy,€11.00m,False,https://img.a.transfermarkt.technology/portrait/medium/247377-1595912547.jpg?lm=1
Lautaro Valenti,Centre-Back,22,21/22,Argentina/Italy,Lanús,Liga Profesional,Argentina,Parma,Serie B,Italy,€10.50m,False,https://img.a.transfermarkt.technology/portrait/medium/625202-1601881303.jpg?lm=1
Luca Cigarini,Defensive Midfield,22,08/09,Italy,Parma,Serie B,Italy,Atalanta BC,Serie A,Italy,€10.50m,False,https://img.a.transfermarkt.technology/portrait/medium/33218-1449134033.jpg?lm=1
Sandro Tonali,Defensive Midfield,20,20/21,Italy,Brescia,Serie B,Italy,AC Milan,Serie A,Italy,€10.00m,True,https://img.a.transfermarkt.technology/portrait/medium/397033-1616775399.jpg?lm=1
Juan Fernando Quintero,Attacking Midfield,20,13/14,Colombia,Pescara,Serie B,Italy,FC Porto,Liga Sagres,Portugal,€10.00m,False,https://img.a.transfermarkt.technology/portrait/medium/122582-1454601905.jpg?lm=1
Adrian Mutu,Centre-Forward,23,02/03,Romania,Hellas Verona,Serie B,Italy,AC Parma,Serie A,Italy,€10.00m,False,https://img.a.transfermarkt.technology/portrait/medium/5879-1538650095.jpg?lm=1
