Name,Position,Age,Season,Player_nat,Left_team,Left_league,Left_team_nat,Joined_team,Joined_league,Joined_nat,Fee,Loan_or_not,Face_img
Nicola Borghetto,Goalkeeper,18,18/19,Italy,Belluno,Serie D - C,Italy,Hellas Verona,Serie B,Italy,€50Th.,False,https://img.a.transfermarkt.technology/portrait/medium/415801-1499339271.jpg?lm=1
Joyce Anacoura,Goalkeeper,20,15/16,Italy/Seychelles,Parma,Serie D - D,Italy,Juventus,Serie A,Italy,€750Th.,False,https://img.a.transfermarkt.technology/portrait/medium/199598-1476880693.jpg?lm=1
Amadou Diawara,Defensive Midfield,17,15/16,Guinea,San Marino,Serie D - D,Italy,Bologna,Serie A,Italy,€600Th.,False,https://img.a.transfermarkt.technology/portrait/medium/355501-1596003567.jpg?lm=1
Oscar Archimede Guarino,Centre-Back,19,20/21,Italy,Rimini,Serie D - D,Italy,Napoli U19,Primavera 2b,Italy,€120Th.,False,https://img.a.transfermarkt.technology/portrait/medium/537586-1584278763.jpg?lm=1
Jean Mbida,Central Midfield,23,13/14,Cameroon,Catania,Serie A,Italy,Thermal Abano,Serie D - D,Italy,€90Th.,False,https://img.a.transfermarkt.technology/portrait/medium/88695-1472136424.jpg?lm=1
Rachid Arma,Centre-Forward,27,12/13,Morocco,Vicenza,Serie B,Italy,SPAL,Lega Pro 1a - A,Italy,€84Th.,False,https://img.a.transfermarkt.technology/portrait/medium/102053-1605704402.jpg?lm=1
Carlo Ferrario,Centre-Forward,31,18/19,Italy,Pergolettese,Serie D - D,Italy,Modena,Serie D - D,Italy,€50Th.,False,https://img.a.transfermarkt.technology/portrait/medium/105676-1566986601.jpg?lm=1
Alessandro Giannò,Left-Back,19,20/21,Italy,Foligno Calcio,Serie D - E,Italy,Triestina,Serie C - B,Italy,€50Th.,False,https://img.a.transfermarkt.technology/portrait/medium/699059-1609794662.jpg?lm=1
Nicolò Cavuoti,Attacking Midfield,16,19/20,Italy,Vastese,Serie D - F,Italy,Cagliari U17,Under 17 - B,Italy,€157Th.,False,https://img.a.transfermarkt.technology/portrait/medium/701842-1570704144.jpg?lm=1
Filippo Fraraccio,Central Midfield,16,21/22,Italy,Vastogirardi,Serie D - F,Italy,Sampdoria U19,Primavera 1,Italy,€100Th.,False,https://img.a.transfermarkt.technology/portrait/medium/820649-1601977315.jpg?lm=1
Lorenzo Zaccone,Left-Back,18,20/21,Italy,Atletico Fiuggi,Serie D - F,Italy,Genoa U19,Primavera 1,Italy,€100Th.,False,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1
Luca Lombardi,Central Midfield,17,19/20,Italy,Recanatese,Serie D - F,Italy,Monza Giovanili,Italy,Italy,€100Th.,False,https://img.a.transfermarkt.technology/portrait/medium/644156-1602094035.jpg?lm=1
Walid Cheddira,Centre-Forward,21,19/20,Italy/Morocco,Sangiustese,Serie D - F,Italy,Parma,Serie A,Italy,€93Th.,False,https://img.a.transfermarkt.technology/portrait/medium/521407-1550917543.jpg?lm=1
Giacomo Vrioni,Centre-Forward,16,14/15,Albania/Italy,Matelica,Serie D - F,Italy,Sampdoria U17,Under 17 - A,Italy,€60Th.,False,https://img.a.transfermarkt.technology/portrait/medium/363178-1607958281.jpg?lm=1
